Key stage 2 fine level,Attainment 8 estimate,A8 Nat Est - English,A8 Nat Est - Maths,A8 Nat Est - EBacc,A8 Nat Est - Open,Average EBacc slots filled (out of 3),Average open slots filled (out of 3)
59.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
59.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
60.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
60.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
61.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
61.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
62.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
62.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
63.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
63.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
64.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
64.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
65.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
65.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
66.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
66.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
67.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
67.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
68.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
68.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
69.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
69.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
70.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
70.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
71.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
71.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
72.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
72.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
73.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
73.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
74.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
74.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
75.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
75.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
76.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
76.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
77.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
77.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
78.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
78.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
79.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
79.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
80.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
80.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
81.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
81.5,1.58,3.81,2.29,4.19,5.55,1.87,2.06
82.0,1.58,3.81,2.29,4.19,5.55,1.87,2.06
82.5,1.64,4.08,2.37,4.13,5.86,2.08,2.23
83.0,1.64,4.08,2.37,4.13,5.86,2.08,2.23
83.5,1.64,4.08,2.37,4.13,5.86,2.08,2.23
84.0,1.64,4.08,2.37,4.13,5.86,2.08,2.23
84.5,1.64,4.08,2.37,4.13,5.86,2.08,2.23
85.0,1.64,4.08,2.37,4.13,5.86,2.08,2.23
85.5,1.64,4.08,2.37,4.13,5.86,2.08,2.23
86.0,1.64,4.08,2.37,4.13,5.86,2.08,2.23
86.5,1.92,4.74,3.03,4.89,6.57,2.24,2.35
87.0,1.92,4.74,3.03,4.89,6.57,2.24,2.35
87.5,1.92,4.74,3.03,4.89,6.57,2.24,2.35
88.0,2.07,5.02,3.34,5.33,7.03,2.33,2.42
88.5,2.07,5.02,3.34,5.33,7.03,2.33,2.42
89.0,2.07,5.02,3.34,5.33,7.03,2.33,2.42
89.5,2.21,5.35,3.63,5.77,7.4,2.4,2.46
90.0,2.21,5.35,3.63,5.77,7.4,2.4,2.46
90.5,2.21,5.35,3.63,5.77,7.4,2.4,2.46
91.0,2.38,5.65,4.07,6.2,7.9,2.46,2.53
91.5,2.38,5.65,4.07,6.2,7.9,2.46,2.53
92.0,2.38,5.65,4.07,6.2,7.9,2.46,2.53
92.5,2.57,6,4.5,6.73,8.43,2.53,2.59
93.0,2.57,6,4.5,6.73,8.43,2.53,2.59
93.5,2.70,6.31,4.79,7.08,8.77,2.55,2.61
94.0,2.70,6.31,4.79,7.08,8.77,2.55,2.61
94.5,2.81,6.56,5.1,7.42,9.07,2.58,2.62
95.0,2.81,6.56,5.1,7.42,9.07,2.58,2.62
95.5,2.97,6.88,5.44,7.9,9.51,2.63,2.68
96.0,2.97,6.88,5.44,7.9,9.51,2.63,2.68
96.5,3.11,7.13,5.77,8.29,9.86,2.66,2.69
97.0,3.11,7.13,5.77,8.29,9.86,2.66,2.69
97.5,3.30,7.52,6.21,8.88,10.42,2.71,2.74
98.0,3.30,7.52,6.21,8.88,10.42,2.71,2.74
98.5,3.46,7.81,6.59,9.34,10.83,2.72,2.75
99.0,3.46,7.81,6.59,9.34,10.83,2.72,2.75
99.5,3.63,8.15,6.94,9.89,11.32,2.76,2.78
100.0,3.63,8.15,6.94,9.89,11.32,2.76,2.78
100.5,3.80,8.46,7.35,10.42,11.77,2.78,2.8
101.0,3.80,8.46,7.35,10.42,11.77,2.78,2.8
101.5,3.98,8.8,7.75,11.02,12.25,2.8,2.82
102.0,3.98,8.8,7.75,11.02,12.25,2.8,2.82
102.5,4.15,9.12,8.09,11.57,12.7,2.81,2.83
103.0,4.15,9.12,8.09,11.57,12.7,2.81,2.83
103.5,4.36,9.53,8.53,12.28,13.3,2.83,2.85
104.0,4.36,9.53,8.53,12.28,13.3,2.83,2.85
104.5,4.55,9.88,8.9,12.9,13.79,2.85,2.86
105.0,4.55,9.88,8.9,12.9,13.79,2.85,2.86
105.5,4.77,10.28,9.39,13.64,14.37,2.87,2.88
106.0,4.77,10.28,9.39,13.64,14.37,2.87,2.88
106.5,5.03,10.73,9.95,14.56,15.07,2.89,2.9
107.0,5.03,10.73,9.95,14.56,15.07,2.89,2.9
107.5,5.28,11.18,10.47,15.4,15.72,2.9,2.91
108.0,5.28,11.18,10.47,15.4,15.72,2.9,2.91
108.5,5.55,11.65,11.09,16.32,16.43,2.92,2.92
109.0,5.55,11.65,11.09,16.32,16.43,2.92,2.92
109.5,5.81,12.11,11.65,17.23,17.15,2.93,2.93
110.0,5.81,12.11,11.65,17.23,17.15,2.93,2.93
110.5,6.05,12.54,12.15,18.01,17.81,2.94,2.94
111.0,6.05,12.54,12.15,18.01,17.81,2.94,2.94
111.5,6.33,13,12.74,18.98,18.54,2.94,2.94
112.0,6.33,13,12.74,18.98,18.54,2.94,2.94
112.5,6.60,13.44,13.36,19.91,19.31,2.95,2.95
113.0,6.60,13.44,13.36,19.91,19.31,2.95,2.95
113.5,6.85,13.88,13.85,20.73,19.99,2.96,2.96
114.0,6.85,13.88,13.85,20.73,19.99,2.96,2.96
114.5,7.09,14.22,14.47,21.56,20.64,2.97,2.96
115.0,7.09,14.22,14.47,21.56,20.64,2.97,2.96
115.5,7.32,14.6,14.93,22.32,21.34,2.97,2.97
116.0,7.32,14.6,14.93,22.32,21.34,2.97,2.97
116.5,7.55,14.97,15.4,23.08,22.02,2.97,2.97
117.0,7.55,14.97,15.4,23.08,22.02,2.97,2.97
117.5,7.74,15.36,15.75,23.64,22.62,2.98,2.98
118.0,7.74,15.36,15.75,23.64,22.62,2.98,2.98
118.5,7.96,15.71,16.26,24.37,23.29,2.98,2.98
119.0,7.96,15.71,16.26,24.37,23.29,2.98,2.98
119.5,8.19,16.16,16.6,24.98,24.11,2.98,2.98
120.0,8.19,16.16,16.6,24.98,24.11,2.98,2.98